"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","title"
"logitmu[1,1]",1.27733639369318,0.00516849282094448,0.630588156425327,0.0258160484900899,0.94948473266764,1.27520973610739,1.60315065895714,2.53325967944977,14885.512253707,0.999930737149102,"logitmu[1,1]"
"logitmu[1,2]",2.66817454793164,0.00308842378247723,0.397150082490864,1.91203273444903,2.41050931869207,2.6592364672447,2.91357181928758,3.47542003835217,16536.1932110794,1.00016800259766,"logitmu[1,2]"
"logitmu[1,3]",0.169379277117636,0.0061506308844058,0.794417016820113,-1.44394027267387,-0.268191972593379,0.162659690834235,0.605954099333799,1.7973535039904,16682.3699336349,1.00000910351154,"logitmu[1,3]"
"logitmu[2,1]",2.21439019040749,0.0134676927380326,1.64253184294167,-1.13737088951983,1.30228234220073,2.20137371880561,3.12107842389339,5.64367578891392,14874.4596017782,1.00010714051952,"logitmu[2,1]"
"logitmu[2,2]",1.4482182747782,0.00374199755820854,0.45923314853768,0.544277209317228,1.16523687128457,1.44283508600374,1.72415057405696,2.39213178665771,15061.1959316571,1.00001823318866,"logitmu[2,2]"
"logitmu[2,3]",1.59351465910333,0.00758368816167647,0.986947594019122,-0.317802243330855,1.05130888367991,1.55539879151863,2.10198605535569,3.69509415066442,16936.6398270557,0.999991839442498,"logitmu[2,3]"
"nu[1,1]",-0.262787288454806,0.00487401469166426,0.525677067948945,-1.37170868644954,-0.565527926636504,-0.199868967090658,0.0316284454991073,0.746666774139701,11632.2679010987,1.00013887203184,"nu[1,1]"
"nu[1,2]",0.169145998799752,0.00448174563960876,0.527325633831288,-0.791769520557952,-0.11437952070205,0.0827888994465058,0.432283915862563,1.39341283597026,13844.0563207983,0.999980589516995,"nu[1,2]"
"nu[1,3]",-0.375977899202386,0.0058644979724818,0.679784487156246,-2.00528659850559,-0.722454479986454,-0.235356449961399,0.0266784308499622,0.759183832483005,13436.3348471988,0.999905810655086,"nu[1,3]"
"nu[1,4]",-0.308418190940816,0.00624585705163084,0.597122318188149,-1.69855463589447,-0.630603590868237,-0.181087869921606,0.0484431424970688,0.717420113212135,9139.92278663936,0.999959647846774,"nu[1,4]"
"nu[1,5]",0.390603749511704,0.00596983852434261,0.606740542437951,-0.551098652224578,-0.00421507971578877,0.255426707265619,0.709751659132611,1.85394160699949,10329.5371642154,0.999990222911068,"nu[1,5]"
"nu[1,6]",0.252469658934033,0.00456280531252881,0.540562524033207,-0.671695714260399,-0.0525710383783995,0.14881547859013,0.52078373608756,1.5488418337655,14035.5032941343,1.00011375578007,"nu[1,6]"
"nu[1,7]",-0.422748177713104,0.00560910592176187,0.601221725444662,-1.78597322080061,-0.785447585358127,-0.318649789521354,-0.00417502073376342,0.568380517007013,11488.9952206118,1.00000086288106,"nu[1,7]"
"nu[1,8]",0.127184283278776,0.00467250294660892,0.528880699260284,-0.86623950902697,-0.156594655365545,0.0539518527332493,0.387305493624001,1.36132669247077,12811.9804959905,1.00027219306894,"nu[1,8]"
"nu[1,9]",-0.0237655301808157,0.00368635235755439,0.485046787257593,-1.04972126002925,-0.269613990419097,-0.0126986870820769,0.217234170240431,1.01372021862127,17313.0496888016,0.999993616439326,"nu[1,9]"
"nu[1,10]",-0.205978458826606,0.00612033271389545,0.578922265103009,-1.57008274584215,-0.490578771080583,-0.0949061622025672,0.113393256080983,0.841726205338467,8947.26790513167,1.00001643272579,"nu[1,10]"
"nu[1,11]",-0.232438251046635,0.00440695374148388,0.509156707157538,-1.40653518803694,-0.500474788297641,-0.144715371611222,0.0565459907273192,0.685871714464741,13348.2998697975,0.99993830058668,"nu[1,11]"
"nu[1,12]",0.361558097760592,0.00574902876593558,0.624007645274192,-0.698407655081488,-0.0206910436265758,0.243735910175485,0.705328313220954,1.80026323399694,11781.23605692,0.999925604347364,"nu[1,12]"
"nu[1,13]",0.334707755467119,0.00566629882131125,0.574157214037342,-0.673994945387304,-0.0104032614934591,0.246438919818569,0.648908125213152,1.64144724774749,10267.4525346665,0.999949186354906,"nu[1,13]"
"nu[1,14]",0.298695658890724,0.00446206492051376,0.467060207830461,-0.485687044004122,-0.00543243165407833,0.213820912294636,0.557196005518589,1.3771611451111,10956.5535836085,0.999938677233656,"nu[1,14]"
"nu[1,15]",-0.0861571829951389,0.00394229072416116,0.429538926068311,-0.992260588325444,-0.319717577086519,-0.0497487238669197,0.138713889163601,0.806904222305477,11871.5590656483,1.00000591593031,"nu[1,15]"
"nu[2,1]",0.264897338717921,0.00693776415046247,0.871317823355099,-1.46144548896734,-0.179588390346258,0.162344901429886,0.694361541862613,2.20908037566958,15772.9937773256,1.00015146588963,"nu[2,1]"
"nu[2,2]",0.0808608131882469,0.00596181053114839,0.68852865118017,-1.29549326614687,-0.285106001724194,0.0429593081802015,0.440709805496267,1.55849699154729,13337.9072820673,1.00024451862396,"nu[2,2]"
"nu[2,3]",0.634443233476233,0.0103837134711911,1.05696883344364,-1.01066771356751,-0.0142140659890343,0.397542796840598,1.13365308998768,3.21497623134635,10361.4126902602,1.00000157322473,"nu[2,3]"
"nu[2,4]",0.433018822581087,0.0075522198852377,0.715574355678193,-0.828740349782797,-0.0281273600555816,0.321438707186194,0.882592995640399,2.00270436279285,8977.60067876068,0.99996015412979,"nu[2,4]"
"nu[2,5]",-0.431062549868656,0.00659345031112736,0.7103937749059,-1.98577446920715,-0.844737155714545,-0.336956192858067,0.0168445024795934,0.821152008387505,11608.412146057,0.999955991740847,"nu[2,5]"
"nu[2,6]",-0.329573515426884,0.00572612661890942,0.667860251599097,-1.79050471055293,-0.704573814655198,-0.24809414645459,0.0626813004151295,0.914145775200631,13603.4573468526,0.9999147203711,"nu[2,6]"
"nu[2,7]",0.959036720362012,0.0141686994777309,1.09565345396922,-0.534449546899159,0.127583365064777,0.729650576848776,1.5590659930119,3.5583875520764,5979.79707679167,0.999993313514377,"nu[2,7]"
"nu[2,8]",0.274727126647925,0.00675472107086881,0.71942743432278,-1.08121899333846,-0.124415199184586,0.176350894872593,0.667580889525931,1.87322145108826,11343.81538565,1.00016484641168,"nu[2,8]"
"nu[2,9]",0.128484651298645,0.00594163387641457,0.676821997080552,-1.22539552403712,-0.229134040254757,0.0772685862616772,0.479551647489698,1.59225271004111,12975.8900226842,1.00069767540036,"nu[2,9]"
"nu[2,10]",-0.0407906491820691,0.00536684875350449,0.618635580496434,-1.3756389652466,-0.363261355879438,-0.0124679883407814,0.30767997476847,1.15886710727021,13287.1267082634,1.00002587151975,"nu[2,10]"
"nu[2,11]",0.161747375045958,0.00500118456112039,0.642463643049034,-1.10421108963917,-0.178150910503027,0.113763071914727,0.498623080135774,1.54575520671875,16502.561062459,0.99990441548103,"nu[2,11]"
